"hospital_name","hospital_intro","department_name","department_intro","doctor_name","doctor_department","doctor_intro","doctor_schedule"
"北京大学肿瘤医院","","基础实验室","","专家出诊","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","知名专家","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","副主任医师","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","住院","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","副主任药师","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","戴亮","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","闫万璞","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","范梦颖","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","万书杰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","方一凡","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张剑","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","周海涛","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","付浩","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","杨永波","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","黄冰洋","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李少雷","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","吕超","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王宇昭","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘轶男","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","裴宇权","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王亮","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","冯源","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","鲁方亮","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","黄淼","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李想","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","周之伟","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张善渊","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","杨跃","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘冰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","宋东东","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","赵大川","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王亚旗","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李双喜","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","贾永宁","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","苗儒林","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","薛侃","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","高翔宇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王胤奎","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李浙民","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","吴舟桥","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","闫超","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","关广民","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张效鹏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","卢信星","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李沈","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","戴红梅","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","吴晓龙","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","季鑫","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","宗祥龙","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","杨合利","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王安强","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","范彪","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张一楠","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","何流","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","冯梦宇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","季科","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","韦静涛","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","苏昊","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李嘉临","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","贾子豫","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王治杰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","彭亦凡","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","冷家骅","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","陈楠","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","赵军","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","陈鹏举","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘新志","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李英杰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","赵一鸣","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张晓","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","翟建宁","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","雷小康","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","杨宏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","姚震旦","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张楠","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘茂兴","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","陈蕾","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","徐凯","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","周传永","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","谭非","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","吴炳宏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","齐新宇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","高品","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘伟","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王宏伟","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","金克敏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘铭","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","包全","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","徐达","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","闫晓峦","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王立军","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王言焱","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王乐","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","吕昂","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","丘辉","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","吴剑挥","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李成鹏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘伯南","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘道宁","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王震","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘峭","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","孙荣泽","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","薛国强","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","侯枫桦","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘发强","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王天笑","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","马骁","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","宋韫韬","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张亚冰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","孙俊勇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","徐国辉","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","孙洁","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李艳","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","白楚杰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","钱红纲","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李舒","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","高天","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","薛瑞峰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王新宇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","谭智超","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张路","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王硕","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘佳","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","赵强","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","曹煜东","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","纪永鹏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","陈晓","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","汤星星","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","马金超","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","杨潇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","曹广","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","柳晨","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘鹏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","朱林忠","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","高钦宗","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","冯艾薇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","寇福新","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘宝将","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","刘少兴","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","闫炎","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王警","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","袁鹏","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","李伟峰","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","曹长琦","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","常琳","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王琦","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张乃怿","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","宋楠","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王巍","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","舒桐","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","蔡艳","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","高维娇","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王红国","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","王文","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","张凤","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","邵彬","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","梁旭","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
"北京大学肿瘤医院","","基础实验室","","姜晗昉","基础实验室","","周三上午 周三下午 周四上午 周四下午 周五上午 周五下午 周六上午"
