id,name,scientific_name,category,hall_id,description,conservation_status,highlight,svg_offset_x
c05,蜻蜓生活史标本,Odonata,昆虫,hall_c,"从水虿到成虫的完整变态发育序列标本；展示稚虫水生、成虫陆生的生态位转换",——,0,180
d01,扬子鳄,Alligator sinensis,爬行动物,hall_d,"中国特有小型鳄鱼，安徽宣城为主要野生分布区；剥制标本全长约 1.8 米，为馆藏最大标本之一",国家一级,1,20
d02,梅花鹿,Cervus nippon,哺乳动物,hall_d,"华东亚种剥制标本，雄性带完整的鹿角；展板介绍梅花鹿的生态习性与保护现状",国家一级,1,60
d03,穿山甲,Manis pentadactyla,哺乳动物,hall_d,"中华穿山甲剥制标本，展示其鳞片结构与长舌适应；展板强调反盗猎与拒绝食用穿山甲的科普信息",国家一级,1,100
d04,猕猴,Macaca mulatta,哺乳动物,hall_d,"灵长类代表标本，骨骼标本与剥制标本并列展出，便于对比解剖结构",国家二级,0,140
d05,赤狐,Vulpes vulpes,哺乳动物,hall_d,"食肉目犬科代表标本，毛色鲜艳；配套展示犬科与猫科动物的牙齿与爪比较",——,0,180
e01,朱鹮,Nipponia nippon,鸟类,hall_e,"国家一级保护动物，世界极危物种；本馆展出成鸟剥制标本，粉白色羽衣优雅动人，被誉为『东方宝石』",国家一级,1,20
e02,丹顶鹤,Grus japonensis,鸟类,hall_e,"大型涉禽剥制标本，身高约 1.5 米；头顶红色裸皮与黑白相间的羽色极具辨识度，象征长寿与吉祥",国家一级,1,60
e03,白冠长尾雉,Syrmaticus reevesii,鸟类,hall_e,"中国特有雉类，尾羽极长（可达 1.5 米）；雄鸟金属光泽羽毛在灯光下绚丽夺目",国家一级,0,100
e04,红腹锦鸡,Chrysolophus pictus,鸟类,hall_e,"中国特产鸟类，雄性羽色金黄与赤红交织，被誉为『金鸡』；标本姿态动感十足",国家二级,1,140
e05,猫头鹰（雕鸮）,Bubo bubo,鸟类,hall_e,"大型夜行猛禽，翼展可达 1.8 米；展示其面盘、耳羽簇与无声飞行适应结构",国家二级,0,180
f01,大鲵（娃娃鱼）,Andrias davidianus,两栖动物,hall_f,"世界上现存最大的两栖动物，安徽黄山、大别山为其重要分布区；浸制标本体长约 1.2 米",国家二级,1,20
f02,眼镜蛇,Naja atra,爬行动物,hall_f,"毒蛇代表浸制标本，颈部扩张时的眼镜状斑纹清晰；配套图文介绍毒蛇咬伤急救知识",——,0,60
f03,平胸龟（鹰嘴龟）,Platysternon megacephalum,爬行动物,hall_f,"中国特有淡水龟类，头部大而不能缩入壳内，喙弯曲似鹰嘴；被列入 CITES 附录 I",国家二级,0,100
f04,黑斑蛙,Rana nigromaculata,两栖动物,hall_f,"常见蛙类浸制标本，配套展示从卵、蝌蚪到成蛙的完整发育序列",——,0,140
g01,中华鲟,Acipenser sinensis,鱼类,hall_g,"大型洄游性鱼类剥制标本，全长约 2 米；被称为『水中大熊猫』，是长江生态保护的旗舰物种",国家一级,1,20
g02,胭脂鱼,Myxocyprinus asiaticus,鱼类,hall_g,"长江流域特有珍稀鱼类，幼体与成体体色差异极大；浸制标本展示其独特背鳍",国家二级,0,60
g03,鹦鹉螺,Nautilus pompilius,软体动物,hall_g,"活化石级海洋软体动物，螺旋形外壳内部具气室结构；展板介绍其与潜艇设计的仿生学关联",——,1,100
g04,鹿角珊瑚,Acropora,腔肠动物,hall_g,"造礁石珊瑚代表，分枝状骨骼结构复杂精美；展板介绍珊瑚礁生态系统保护",CITES 附录 II,0,140
g05,鲎（东方鲎）,Tachypleus tridentatus,节肢动物,hall_g,"海洋活化石，蓝色血液在医学检测中具有重要价值；标本展示其马蹄形头胸甲与剑尾",——,1,180
h01,人体全身骨骼模型,Homo sapiens,人体科学,hall_h,"真人骨骼组装，高约 1.7 米，完整展示 206 块骨骼的形态与连接关系；是解剖学教学的经典教具",——,1,20
h02,人体器官塑化标本,Homo sapiens,人体科学,hall_h,"采用生物塑化技术制作的心、肺、肝、肾等器官标本，可清晰观察内部血管分布与组织结构",——,1,60
h03,人体胚胎发育序列,Homo sapiens,人体科学,hall_h,"从受精卵到足月胎儿的各阶段塑化/模型标本，附图文说明各时期发育里程碑",——,1,100
h04,人体肌肉解剖模型,Homo sapiens,人体科学,hall_h,"真人肌肉塑化标本，展示全身表层与深层肌群的走向与附着点",——,0,140
i01,森林生态场景,——,生态场景,hall_i,"大型全景沙盘，复原温带阔叶林生态系统；含乔木层、灌木层、草本层与地被层的立体剖面，搭配鸟兽模型与声光电效果",——,1,20
i02,湿地生态场景,——,生态场景,hall_i,"淮南焦岗湖湿地缩影沙盘，展示芦苇荡、荷塘、水鸟栖息地；荷花与候鸟模型生动还原",——,1,100
i03,草原生态场景,——,生态场景,hall_i,"温带草原生态系统沙盘，含草食动物群与食物链关系模型；展板介绍草原退化与保护",——,0,180
